lastgroup	link1	link2	link3	link4	link5	linkother	q01gndr	q02yrbrn	q03empsts	q06firmsize	q07indust	q08prof	q09wtime	q10currenttime	q11reason	q12office	q13support	q14partner	q20sat11	q20sat12	q20sat13	q20sat14	q20sat15	q20sat16	q20sat17	q20sat21	q20sat22	q20sat23	q20sat24	q20sat25	q20sat26	q20sat27	q21concern11	q21concern12	q21concern21	q21concern22	q23land	q24townsize	q25hhsize	q26flatsize	q27educ	q28migr	q34hhinc	surveyday	female	age	agegr	edu	ctr	selfempl	sysjob	homeoffice	homeoffice_det	parent	fam	nrchildren	youngestcat	childcare	wohnsit	hhinc
10	.c	1	.c	.c	.c		1	1987	1	3	7	1	3	1	.a	2	6	0	6	.a	5	.a	6	6	6	6	.a	6	.a	4	5	6	5	5	5	5	3	2	1	3	4	1	2	1	0	33	3	3	2	0	0	1	1	0	1	0	.a		3	2
10	.c	1	.c	.c	.c		2	1978	1	3	7	1	3	1	.a	2	6	1	6	7	.c	7	6	6	6	6	7	.c	7	6	6	6	6	6	6	6	3	2	2	2	4	1	1	1	1	42	4	3	1	0	0	1	1	0	2	0	.a		2	1
10	.c	1	.c	.c	.c		1	1979	1	.c	9	1	4	1	.a	1	7	1	5	4	3	5	5	4	4	6	5	5	3	6	6	6	3	5	3	5	3	2	4	3	4	1	2	1	0	41	4	3	1	0	0	0	0	1	3	2	1	2	2	2
10	.c	1	.c	1	.c		2	1979	1	2	9	1	4	3	.a	2	7	1	6	5	4	3	5	7	6	6	6	5	5	5	5	6	2	3	7	7	3	2	3	3	4	1	1	1	1	41	4	3	1	0	0	1	1	1	3	1	3	3	2	1
10	1	.c	.c	.c	.c		2	1960	1	2	2	1	2	1	.a	1	4	1	4	6	6	6	7	.c	7	4	6	6	6	7	.c	6	6	7	6	7	9	1	3	8	3	1	1	1	1	60	6	2	1	0	0	0	0	0	2	0	.a		3	1
10	.c	.c	.c	1	.c		2	1959	0	.a	.a	.a	.a	.a	.a	.a	.a	0	.a	.a	.c	.a	1	1	3	.a	.a	.c	.a	3	3	4	5	.a	4	.a	3	2	1	2	4	1	2	1	1	61	6	3	.a	.a	.a	.a	.a	0	1	0	.a		2	2
10	.c	1	.c	.c	.c		1	1975	1	3	7	1	4	2	.a	2	6	1	5	4	4	6	3	4	5	5	4	4	6	4	4	5	6	6	6	6	3	2	4	4	4	3	1	1	0	45	4	3	2	0	0	1	1	1	3	2	3	1	3	1
10	.c	.c	.c	1	.c		2	1961	1	.a	10	1	3	2	.a	1	3	1	3	6	7	6	7	7	6	6	6	7	7	7	7	6	4	5	7	7	3	2	4	4	4	1	.c	1	1	59	6	3	3	1	0	0	0	1	3	1	4	4	2	.c
10	.c	.c	1	.c	.c		2	1988	0	.a	.a	.a	.a	.a	.a	.a	.a	1	.a	7	6	5	4	6	4	.a	6	5	4	5	5	4	5	.a	5	.a	2	1	4	4	4	2	1	1	1	32	3	3	.a	.a	.a	.a	.a	1	3	2	1	1	3	1
10	.c	1	.c	.c	.c		1	1990	1	3	7	1	4	2	.a	2	6	1	6	5	5	6	5	3	7	7	6	6	6	6	2	7	7	7	7	7	3	2	2	2	4	1	1	1	0	30	3	3	2	0	0	1	1	0	2	0	.a		2	1
10	.c	1	.c	.c	.c		1	1978	1	3	7	1	3	2	.a	2	5	0	4	.a	5	.a	3	3	3	4	.a	5	.a	4	4	4	6	6	6	6	3	2	1	1	4	1	1	1	0	42	4	3	1	0	0	1	1	0	1	0	.a		1	1
10	1	.c	.c	.c	.c		2	1998	1	1	4	1	1	4	3	.a	6	0	5	.a	7	.a	6	5	7	7	.a	7	.a	7	5	7	4	7	7	7	3	2	2	2	1	1	2	1	1	22	2	1	1	0	0	.a	3	0	1	0	.a		1	2
10	.c	.c	1	.c	.c		2	1985	1	1	9	6	2	4	3	.a	5	0	6	.a	5	.a	2	3	4	7	.a	5	.a	6	4	4	5	3	7	7	7	2	3	3	3	1	2	1	1	35	3	2	1	0	1	.a	3	0	1	0	.a		1	2
10	.c	1	.c	.c	.c		2	1958	1	3	7	1	4	1	.a	2	6	1	3	7	6	6	4	4	3	6	7	7	6	7	.c	6	7	7	7	7	3	2	2	4	3	1	1	1	1	62	6	2	1	0	0	1	1	0	2	0	.a		3	1
10	.c	.c	1	.c	.c		2	1987	1	2	5	1	2	1	.a	2	3	1	3	5	5	6	2	2	3	6	6	6	6	7	7	6	2	1	7	7	11	1	3	8	4	1	1	1	1	33	3	3	1	0	0	1	1	1	3	1	1	1	3	1
10	.c	1	.c	.c	.c		2	1994	1	3	7	1	1	2	.a	2	5	0	3	.a	5	.a	5	5	2	5	.a	5	.a	6	.c	6	3	4	5	6	3	2	1	1	4	1	1	1	1	26	3	3	2	0	0	1	1	0	1	0	.a		1	1
10	1	.c	.c	.c	.c		2	1985	0	.a	.a	.a	.a	.a	.a	.a	.a	1	.a	6	7	4	5	4	6	.a	6	6	4	6	4	6	4	.a	6	.a	9	1	4	5	3	1	2	1	1	35	3	2	.a	.a	.a	.a	.a	1	3	2	1	1	3	2
10	.c	.c	1	.c	.c		2	1963	1	2	10	1	4	2	.a	2	7	1	6	6	4	6	4	6	6	6	6	5	6	5	6	6	6	6	7	7	16	1	2	5	4	1	1	1	1	57	6	3	1	0	0	1	1	0	2	0	.a		3	1
10	1	.c	.c	.c	.c		1	1986	1	3	4	9	4	2	.a	2	5	1	5	5	5	5	3	5	5	5	5	5	5	4	5	5	5	5	5	6	10	2	3	5	4	1	1	1	0	34	3	3	1	0	1	1	1	1	3	1	2	3	3	1
10	.c	1	.c	.c	.c		2	1995	1	3	7	1	4	2	.a	2	6	1	4	6	6	6	4	5	6	5	6	6	6	6	5	6	3	2	5	5	3	2	2	2	3	1	1	1	1	25	2	2	1	0	0	1	1	0	2	0	.a		2	1
10	.c	1	.c	.c	.c		2	1986	1	3	7	1	3	1	.a	2	6	1	6	6	6	6	5	.c	5	7	7	7	6	.c	.c	.c	7	7	7	7	3	2	4	3	3	2	2	1	1	34	3	2	1	0	0	1	1	1	3	2	2	2	2	2
10	.c	.c	1	.c	.c		2	1982	1	3	7	1	4	2	.a	2	5	1	5	6	6	7	4	7	5	7	6	7	7	6	4	7	7	7	7	7	3	2	4	5	4	1	1	1	1	38	4	3	5	0	0	1	1	1	3	2	4	2	3	1
10	.c	1	.c	.c	.c		2	1992	1	3	7	1	3	1	.a	2	7	0	4	.a	4	.a	6	6	5	4	.a	4	.a	6	6	5	4	.c	4	.c	3	2	1	1	4	3	2	1	1	28	3	3	2	0	0	1	1	0	1	0	.a		1	2
10	.c	.c	.c	1	.c		2	1962	1	2	9	6	3	2	.a	2	7	0	7	.a	7	.a	7	7	7	7	.a	7	.a	7	6	7	7	7	7	7	3	2	2	3	4	1	1	1	1	58	6	3	1	0	1	1	1	0	1	0	.a		2	1
10	.c	1	.c	.c	.c		2	1969	1	3	7	1	1	2	.a	2	7	0	5	.a	4	.a	3	4	5	6	.a	6	.a	6	6	6	5	6	6	6	3	2	2	3	4	1	1	1	1	51	5	3	2	0	0	1	1	1	4	1	4	1	2	1
10	.c	.c	.c	1	.c		1	1994	1	3	7	1	1	1	.a	2	4	1	2	4	5	5	4	5	5	3	5	4	5	6	4	6	6	6	7	6	3	2	2	2	4	1	1	1	0	26	3	3	2	0	0	1	1	0	2	0	.a		2	1
10	.c	.c	1	.c	.c		2	1984	1	.a	9	1	1	4	0	.a	5	1	3	6	4	7	3	3	7	6	6	5	4	4	5	7	2	2	4	5	3	2	4	3	4	3	2	1	1	36	4	3	3	1	0	.a	3	1	3	2	1	1	2	2
10	.c	1	.c	.c	.c		2	1983	1	3	7	1	4	2	.a	2	6	0	6	.a	6	.a	7	7	6	6	.a	7	.a	7	5	7	5	5	6	5	3	2	1	2	4	1	2	1	1	37	4	3	2	0	0	1	1	0	1	0	.a		2	2
10	.c	.c	.c	1	.c		2	1982	1	3	9	6	3	3	.a	1	4	1	5	6	6	3	3	5	5	2	.c	4	3	7	3	3	3	7	6	7	3	2	2	1	.c	1	.c	1	1	38	4	.c	1	0	1	0	0	1	3	1	4	4	1	.c
10	.c	.c	1	.c	.c		1	1986	0	.a	.a	.a	.a	.a	.a	.a	.a	1	.a	7	7	7	5	6	7	.a	7	.c	7	6	6	7	5	.a	5	.a	9	2	3	4	4	1	1	1	0	34	3	3	.a	.a	.a	.a	.a	1	3	1	1	1	3	1
10	1	.c	.c	.c	.c		2	1956	0	.a	.a	.a	.a	.a	.a	.a	.a	1	.a	6	4	5	3	7	2	.a	6	6	6	7	4	7	3	.a	7	.a	3	2	2	3	4	1	1	1	1	64	6	3	.a	.a	.a	.a	.a	0	2	0	.a		3	1
10	.c	.c	1	.c	.c		1	1986	1	3	9	6	2	1	.a	1	6	0	7	.a	6	.a	6	3	6	7	.a	5	.a	6	3	6	4	7	5	6	10	1	2	3	3	1	2	1	0	34	3	2	1	0	1	0	0	0	1	0	.a		2	2
10	.c	1	.c	.c	.c		1	1991	1	3	7	1	3	2	.a	2	7	1	7	7	7	5	4	3	7	5	7	7	5	5	3	6	7	7	6	6	3	2	2	2	4	3	1	1	0	29	3	3	2	0	0	1	1	0	2	0	.a		2	1
10	.c	.c	.c	1	.c		1	1962	1	.a	5	1	4	3	.a	2	7	1	7	7	7	7	5	5	6	7	7	7	7	7	7	7	4	7	5	7	3	2	2	6	4	1	1	1	0	58	6	3	4	1	0	1	1	0	2	0	.a		3	1
10	.c	.c	1	.c	.c		2	1984	1	2	9	1	4	1	.a	2	6	1	5	6	6	6	6	6	6	5	6	6	6	6	6	6	6	7	6	7	3	2	2	2	4	1	1	1	1	36	4	3	2	0	0	1	1	0	2	0	.a		2	1
10	.c	.c	.c	1	.c		2	1980	1	2	9	1	3	2	.a	2	7	1	4	7	7	7	5	4	6	6	6	7	7	7	4	7	5	3	7	4	3	2	4	3	4	3	1	1	1	40	4	3	2	0	0	1	1	1	3	2	3	1	2	1
10	1	.c	.c	.c	.c		2	1987	1	3	7	1	4	3	.a	2	7	1	3	7	5	4	7	.c	4	3	7	5	4	7	.c	4	.c	.c	5	3	3	2	2	3	4	1	1	1	1	33	3	3	2	0	0	1	1	0	2	0	.a		3	1
10	.c	.c	1	.c	.c		2	1993	0	.a	.a	.a	.a	.a	.a	.a	.a	0	.a	.a	5	.a	7	.c	5	.a	.a	5	.a	7	.c	7	4	.a	7	.a	10	2	4	3	4	1	2	1	1	27	3	3	.a	.a	.a	.a	.a	0	1	0	.a		1	2
10	1	1	.c	.c	.c		2	1987	1	3	7	1	2	1	.a	2	4	1	2	7	7	7	3	.c	6	4	7	7	6	6	.c	6	4	6	4	6	3	2	2	3	4	3	2	1	1	33	3	3	2	0	0	1	1	0	2	0	.a		3	2
10	.c	1	.c	.c	.c		1	1984	1	3	7	1	3	2	.a	2	7	1	6	5	5	6	4	.c	6	6	5	5	6	5	.c	6	3	5	3	5	3	2	3	3	4	1	2	1	0	36	4	3	2	0	0	1	1	0	2	0	.a		2	2
10	1	.c	.c	.c	.c		1	1950	.c	.a	.a	.a	.a	.a	.a	.a	.a	0	.a	.a	6	.a	6	6	6	.a	.a	6	.a	6	6	6	6	.a	7	.a	10	2	1	3	4	1	1	1	0	70	7	3	.a	.a	.a	.a	.a	0	1	0	.a		3	1
10	.c	1	.c	.c	.c		2	1965	1	3	8	4	4	1	.a	2	7	1	6	7	7	6	6	7	6	6	7	7	7	7	6	6	6	7	7	7	3	2	2	2	3	1	1	1	1	55	5	2	1	0	1	1	1	0	2	0	.a		2	1
10	.c	.c	.c	1	.c		2	1984	1	3	7	1	4	2	.a	2	4	1	3	5	5	4	2	4	5	6	6	6	5	5	4	7	7	6	7	.c	3	2	4	5	4	1	1	1	1	36	4	3	1	0	0	1	1	1	3	2	1	4	3	1
10	.c	1	.c	.c	.c		2	1994	0	.a	.a	.a	.a	.a	.a	.a	.a	1	.a	7	7	4	5	5	2	.a	7	7	4	6	5	5	1	.a	4	.a	3	2	2	2	4	2	2	1	1	26	3	3	.a	.a	.a	.a	.a	0	2	0	.a		2	2
